s1m1,d min,d perform,loss,dtotal,meanRealLoss,,s2m1,d min,d perform,loss,dtotal,meanRealLoss,,
Mean:,39,48,9,119.86,80.58,,Mean:,40,48,#¡REF!,195.62,155.32,,
Std dev:,5.91,10.19,5.35,40.93,42.74,,Std dev:,0.00,3.57,#¡REF!,80.99,80.99,,
Max loss:,163.40,0,0,0,0,,Max loss:,328.70,0,0,0,0,,
Max simulation Time:,220.00,0,0,0,0,,Max simulation Time:,369.00,0,0,0,0,,
Total timesteps,276,0,0,0,0,,Total timesteps,374,0,0,0,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
s1m2,d min,d perform,loss,dtotal,meanRealLoss,,s2m2,d min,d perform,loss,dtotal,meanRealLoss,,
Mean:,140,147,7,268.70,128.58,,Mean:,40.3,151.6363636,10.32181818,350,205.2727273,,
Std dev:,0.06,1.40,1.37,130.44,130.42,,Std dev:,8.41322314,91.66942149,6.499008264,87.81818182,92.8661157,,
Max loss:,303.60,,,,,,Max loss:,342.9,0,0,0,0,,
Max simulation Time:,444.00,,,,,,Max simulation Time:,483,0,0,0,0,,
Total timesteps,507,,,,,,Total timesteps,501,0,0,0,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
s1m3,d min,d perform,loss,dtotal,meanRealLoss,,s2m3,d min,d perform,loss,dtotal,meanRealLoss,,
Mean:,40,46,6,61.00,20.70,,Mean:,40,60,19,141.17,100.87,,
Std dev:,0.00,0.00,0.00,3.33,3.33,,Std dev:,0.00,13.67,13.67,24.89,24.89,,
Max loss:,25.70,0,0,0,0,,Max loss:,156.70,0,0,0,0,,
Max simulation Time:,66.00,0,0,0,0,,Max simulation Time:,197.00,0,0,0,0,,
Total timesteps,63,0,0,0,0,,Total timesteps,199,0,0,0,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
s1m4,d min,d perform,loss,dtotal,meanRealLoss,,s2m4,d min,d perform,loss,dtotal,meanRealLoss,,
Mean:,40,48,9,97.24,57.96,,Mean:,40,49,9,160.00,119.70,,
Std dev:,5.91,10.27,5.43,34.44,32.26,,Std dev:,0.00,4.41,4.41,48.48,48.48,,
Max loss:,124.40,0,0,0,0,,Max loss:,258.70,0,0,0,0,,
Max simulation Time:,181.00,0,0,0,0,,Max simulation Time:,299.00,0,0,0,0,,
Total timesteps,237,0,0,0,0,,Total timesteps,301,0,0,0,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
s1m5,d min,d perform,loss,dtotal,meanRealLoss,,s2m5,d min,d perform,loss,dtotal,meanRealLoss,,
Mean:,40,48,9,82.86,43.58,,Mean:,40,53,12,126.29,85.99,,
Std dev:,5.91,9.96,5.22,21.37,20.69,,Std dev:,0.00,8.26,8.26,28.90,28.90,,
Max loss:,107.70,0,0,0,0,,Max loss:,157.70,0,0,0,0,,
Max simulation Time:,148.00,0,0,0,0,,Max simulation Time:,198.00,0,0,0,0,,
Total timesteps,219,0,0,0,0,,Total timesteps,243,0,0,0,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,s2m6,d min,d perform,loss,dtotal,meanRealLoss,,
,,,,,,,Mean:,40,72,19,107.00,66.70,,
,,,,,,,Std dev:,0.00,17.67,13.67,29.67,29.67,,
,,,,,,,Max loss:,116.70,,,,,,
,,,,,,,Max simulation Time:,157.00,,,,,,
,,,,,,,Total timesteps,159,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Timestemps,Loss,,,,,,,,,,,
1,S1Map1,276,80.58,,,,,,,,,,,
2,S1Map2,507,128.58,,,,,,,,,,,
3,S1Map3,63.00,19.03,,,,,,,,,,,
4,S1Map4,237,57.96,,,,,,,,,,,
5,S1Map5,219,43.58,,,,,,,,,,,
6,S2Map1,374,155.32,,,,,,,,,,,
7,S2Map2,501,205,,,,,,,,,,,
8,S2Map3,199.7,100.87,,,,,,,,,,,
9,S2Map4,301,119.7,,,,,,,,,,,
10,S2Map5,276,85.99,,,,,,,,,,,
11,S2Map6,159,66.7,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,S1Map1,276,,,,,,,,,,,,
3,S1Map3,63.00,,,,,,,,,,,,
4,S1Map4,237,,,,,,,,,,,,
5,S1Map5,219,,,,,,,,,,,,
6,S2Map1,374,,,,,,,,,,,,
8,S2Map3,199.7,,,,,,,,,,,,
9,S2Map4,301,,,,,,,,,,dtotal,devitation,RSD
10,S2Map5,276,,,,,,,,,1,119.86,40.93,65.85182713
11,S2Map6,159,,,,,,,,,2,528.48,256.88,51.39267333
,,,,,,,,,,,3,59.33,2.22,96.25821675
,,,,,,,,,,,4,97.24,34.44,64.58247635
,,,,,,,,,,,5,82.86,21.37,74.20951002
,,,,,,,,,,,6,195.62,80.999,58.59370208
,,,,,,,,,,,7,350,97.81,72.05428571
,,,,,,,,,,,8,141.17,24.89,82.36877524
,,,,,,,,,,,9,160,48.89,69.44375
,,,,,,,,,,,10,126.29,28.9,77.11616122
,,,,,,,,,,,11,107,29.67,72.27102804
